Date,Description,Amount,Type
2026-05-02,TRANSFER FROM HARBOR CO - WEBSITE BUILD,2800.00,income
2026-05-03,ADOBE SYSTEMS *CREATIVECLOUD,-54.99,expense
2026-05-05,FIGMA.COM SUBSCRIPTION,-15.00,expense
2026-05-07,UBER TRIP 7741,-18.20,expense
2026-05-09,LINKEDIN ADS,-120.00,expense
2026-05-11,STRIPE PAYOUT,1450.00,income
2026-05-12,STARBUCKS STORE 552,-6.45,expense
2026-05-14,AMAZON WEB SERVICES,-39.10,expense
2026-05-16,DELTA AIR LINES,-318.40,expense
2026-05-18,NOTION.SO,-10.00,expense
2026-05-20,TRANSFER FROM HARBOR CO - RETAINER,1500.00,income
2026-05-22,B&H PHOTO - LENS,-289.00,expense
2026-05-24,UDEMY COURSE - UX RESEARCH,-74.99,expense
2026-05-26,CHASE BANK MONTHLY FEE,-12.00,expense
2026-05-27,DOORDASH - CLIENT LUNCH,-42.80,expense
